model,variant,split,n,exact_match_pct,gap_le_5_pct,gap_le_10_pct,gap_le_20_pct,mean_gap_pct,median_gap_pct,mae,feasibility_pct,eval_loss
granite_3_2_8b,lora_n50,overall,50,26.0,40.0,58.0,72.0,186.1,6.2,3283.7,100.0,0.3356
granite_3_2_8b,lora_n50,small,9,55.6,77.8,100.0,100.0,1.79,0.0,11.2,,
granite_3_2_8b,lora_n50,medium,29,27.6,44.8,69.0,89.7,195.79,5.8,2512.7,,
granite_3_2_8b,lora_n50,large,12,0.0,0.0,0.0,8.3,300.9,192.75,7601.2,,
llama_3_1_8b,lora_n50,overall,50,22.0,42.0,68.0,76.0,44.06,5.6,1029.4,100.0,0.4018
llama_3_1_8b,lora_n50,small,9,55.6,77.8,88.9,100.0,2.3,0.0,11.6,,
llama_3_1_8b,lora_n50,medium,29,20.7,48.3,89.7,100.0,4.77,5.1,78.8,,
llama_3_1_8b,lora_n50,large,12,0.0,0.0,0.0,0.0,170.34,168.9,4090,,
ministral_8b,lora_n50,overall,50,28.0,44.0,58.0,72.0,48.66,6.25,879.0,100.0,0.3448
ministral_8b,lora_n50,small,9,55.6,55.6,88.9,100.0,3.43,0.0,43.3,,
ministral_8b,lora_n50,medium,29,31.0,58.6,72.4,93.1,13.52,3.1,195.3,,
ministral_8b,lora_n50,large,12,0.0,0.0,0.0,0.0,167.48,127.75,3158.2,,
Qwen2-7B,lora_n50,overall,50,4.0,20.0,26.0,38.0,63.74,30.9,1035.8,100.0,0.3481
Qwen2-7B,lora_n50,small,9,22.2,55.6,77.8,77.8,7.03,3.3,101.6,,
Qwen2-7B,lora_n50,medium,29,0.0,10.3,13.8,31.0,65.8,38.3,1002.9,,
Qwen2-7B,lora_n50,large,12,0.0,16.7,16.7,25.0,101.27,94.3,1816.1,,
granite,lora,overall,200,35.0,,,,41.03,3.76,,87.0,
granite,lora,small,41,78.05,,,,2.09,,,100.0,
granite,lora,medium,159,23.9,,,,51.06,,,83.65,
llama,lora,overall,200,34.0,,,,6.44,3.41,,95.5,
llama,lora,small,41,78.05,,,,1.43,,,97.56,
llama,lora,medium,159,22.64,,,,7.74,,,94.97,
ministral,lora,overall,200,30.5,,,,13.7,5.57,,93.0,
ministral,lora,small,41,65.85,,,,3.41,,,97.56,
ministral,lora,medium,159,21.38,,,,16.35,,,91.82,
qwen2,lora,overall,200,3.0,,,,59.28,32.27,,1.0,
qwen2,lora,small,41,14.63,,,,14.41,,,4.88,
qwen2,lora,medium,159,0.0,,,,70.85,,,0.0,
granite,rslora,overall,200,5.5,,,,214.48,40.72,,22.0,
granite,rslora,small,41,26.83,,,,17.14,,,58.54,
granite,rslora,medium,159,0.0,,,,265.36,,,12.58,
llama,rslora,overall,200,36.0,,,,12.69,5.3,,95.0,
llama,rslora,small,41,78.05,,,,3.29,,,100.0,
llama,rslora,medium,159,25.16,,,,15.11,,,93.71,
ministral,rslora,overall,200,24.0,,,,34.72,9.68,,64.0,
ministral,rslora,small,41,51.22,,,,5.24,,,97.56,
ministral,rslora,medium,159,16.98,,,,42.33,,,55.35,
qwen2,rslora,overall,200,25.0,,,,34.39,7.33,,50.0,
qwen2,rslora,small,41,60.98,,,,2.86,,,90.24,
qwen2,rslora,medium,159,15.72,,,,42.52,,,39.62,
