name,size,n_ops_expected,bks,pred,gap_pct,feasible,ops_emitted,extra_ops,missing_op_count,precedence,routing,machine_cap,timing
ft06,6x6,36,55,61,10.909090909090908,True,36,0,0,0,0,0,0
ft10,10x10,100,930,1150,23.655913978494624,False,101,0,0,0,0,1,0
ft20,20x5,100,1165,789,-32.27467811158798,False,50,0,50,0,1,0,0
la01,10x5,50,666,666,0.0,True,50,0,0,0,0,0,0
la02,10x5,50,655,732,11.755725190839694,True,50,0,0,0,0,0,0
la03,10x5,50,597,650,8.877721943048575,True,50,0,0,0,0,0,0
la04,10x5,50,590,687,16.440677966101696,True,50,0,0,0,0,0,0
la05,10x5,50,593,593,0.0,True,50,0,0,0,0,0,0
la06,15x5,75,926,773,-16.52267818574514,False,54,0,25,0,0,0,0
la07,15x5,75,890,616,-30.786516853932582,False,50,0,25,0,0,0,0
la08,15x5,75,863,614,-28.85283893395133,False,50,0,25,0,0,0,0
la09,15x5,75,951,703,-26.07781282860147,False,50,0,25,1,0,0,0
la10,15x5,75,958,746,-22.129436325678498,False,50,0,25,0,0,0,0
la16,10x10,100,945,4185,342.85714285714283,False,504,0,0,0,0,190,11
la17,10x10,100,784,947,20.79081632653061,False,104,0,0,1,0,0,0
la18,10x10,100,848,1055,24.410377358490564,True,100,0,0,0,0,0,0
la19,10x10,100,842,955,13.420427553444181,True,100,0,0,0,0,0,0
la20,10x10,100,902,4485,397.2283813747228,False,494,0,0,0,0,171,20
