name,bks,SFT-LoRA_strict_feas,SFT-LoRA_trim_ms,SFT-LoRA_trim_gap,SFT-LoRA_emit,SFT-LoRA_exp,SFT-LoRA_over_jobs,LoRA-LLaMA_strict_feas,LoRA-LLaMA_trim_ms,LoRA-LLaMA_trim_gap,LoRA-LLaMA_emit,LoRA-LLaMA_exp,LoRA-LLaMA_over_jobs,rsLoRA-LLaMA_strict_feas,rsLoRA-LLaMA_trim_ms,rsLoRA-LLaMA_trim_gap,rsLoRA-LLaMA_emit,rsLoRA-LLaMA_exp,rsLoRA-LLaMA_over_jobs,GRPO-V5_strict_feas,GRPO-V5_trim_ms,GRPO-V5_trim_gap,GRPO-V5_emit,GRPO-V5_exp,GRPO-V5_over_jobs,GRPO-V6 ck400_strict_feas,GRPO-V6 ck400_trim_ms,GRPO-V6 ck400_trim_gap,GRPO-V6 ck400_emit,GRPO-V6 ck400_exp,GRPO-V6 ck400_over_jobs
ft06,55,True,61,10.909090909090908,36,36,0,True,59,7.2727272727272725,36,36,0,True,61,10.909090909090908,36,36,0,True,59,7.2727272727272725,36,36,0,True,61,10.909090909090908,36,36,0
ft10,930,False,1064,,136,100,6,False,1134,,100,100,0,False,1150,,101,100,1,False,1119,,131,100,5,False,1255,,295,100,10
ft20,1165,False,798,,50,100,0,False,1765,,118,100,6,False,789,,50,100,0,False,814,,51,100,2,False,873,,49,100,1
la01,666,True,666,0.0,50,50,0,True,693,4.054054054054054,50,50,0,True,666,0.0,50,50,0,True,666,0.0,50,50,0,True,697,4.654654654654655,50,50,0
la02,655,True,721,10.076335877862595,50,50,0,True,763,16.48854961832061,50,50,0,True,732,11.755725190839694,50,50,0,True,730,11.450381679389313,50,50,0,True,698,6.564885496183207,50,50,0
la03,597,True,687,15.07537688442211,50,50,0,True,652,9.212730318257957,50,50,0,True,650,8.877721943048575,50,50,0,True,650,8.877721943048575,50,50,0,True,653,9.380234505862646,50,50,0
la04,590,True,701,18.8135593220339,50,50,0,True,662,12.203389830508476,50,50,0,True,687,16.440677966101696,50,50,0,True,637,7.966101694915253,50,50,0,True,637,7.966101694915253,50,50,0
la05,593,True,605,2.0236087689713322,50,50,0,True,593,0.0,50,50,0,True,593,0.0,50,50,0,True,593,0.0,50,50,0,True,593,0.0,50,50,0
la06,926,False,824,,51,75,1,False,880,,71,75,0,False,753,,54,75,1,False,755,,51,75,1,False,737,,51,75,1
la07,890,False,664,,50,75,0,False,975,,77,75,1,False,616,,50,75,0,False,642,,50,75,0,False,615,,50,75,0
la08,863,False,614,,50,75,0,False,831,,70,75,0,False,614,,50,75,0,False,624,,50,75,0,False,666,,50,75,0
la09,951,False,703,,50,75,0,True,951,0.0,75,75,0,False,703,,50,75,0,False,668,,50,75,0,False,736,,50,75,0
la10,958,False,746,,50,75,0,False,871,,70,75,0,False,746,,50,75,0,False,761,,50,75,0,False,761,,50,75,0
la16,945,False,1204,,299,100,10,False,1102,,104,100,2,False,1211,,504,100,10,False,1153,,104,100,1,True,1092,15.555555555555555,100,100,0
la17,784,True,1113,41.964285714285715,100,100,0,False,820,,105,100,2,False,947,,104,100,1,True,818,4.336734693877551,100,100,0,False,837,,102,100,2
la18,848,False,1052,,300,100,10,False,897,,98,100,0,True,1055,24.410377358490564,100,100,0,True,982,15.80188679245283,100,100,0,True,957,12.853773584905662,100,100,0
la19,842,False,1203,,108,100,2,True,935,11.045130641330166,100,100,0,True,955,13.420427553444181,100,100,0,False,1037,,105,100,2,False,986,,103,100,2
la20,902,True,992,9.977827050997783,100,100,0,False,1206,,493,100,10,False,1033,,494,100,10,False,1046,,105,100,2,False,979,,101,100,1
